timestamp,size,proto,sport,dport,ttl
1765273291.9357111,85,TCP,51053,443,64
1765273291.9499638,60,TCP,443,51053,53
1765273291.9763334,59,TCP,18099,443,64
1765273291.9774904,385,TCP,18099,443,64
1765273291.9787648,71,TCP,18099,443,64
1765273292.0189743,60,TCP,443,18099,49
1765273292.0207076,60,TCP,443,18099,49
1765273292.0220177,60,TCP,443,18099,49
1765273292.1463814,85,TCP,443,51053,53
1765273292.194392,54,TCP,51053,443,64
1765273292.4305294,66,TCP,14802,443,64
1765273292.4316998,66,TCP,14803,443,64
1765273292.6035614,59,TCP,18099,443,64
1765273292.6050572,385,TCP,18099,443,64
1765273292.6070309,71,TCP,18099,443,64
1765273292.647794,60,TCP,443,18099,49
1765273292.6487846,60,TCP,443,18099,49
1765273292.6499438,60,TCP,443,18099,49
1765273292.7283626,83,UDP,5353,5353,1
1765273292.731148,337,UDP,5353,5353,1
1765273292.9904938,59,TCP,18099,443,64
1765273292.9917393,385,TCP,18099,443,64
1765273292.99274,71,TCP,18099,443,64
1765273293.0342715,60,TCP,443,18099,49
1765273293.035647,60,TCP,443,18099,49
1765273293.0367746,60,TCP,443,18099,49
1765273293.1760755,66,TCP,33308,443,64
1765273293.4399667,66,TCP,14803,443,64
1765273293.6129165,59,TCP,18099,443,64
1765273293.6142952,385,TCP,18099,443,64
1765273293.6155608,71,TCP,18099,443,64
1765273293.6566498,60,TCP,443,18099,49
1765273293.6578672,60,TCP,443,18099,49
1765273293.6593997,60,TCP,443,18099,49
1765273293.6903245,86,UDP,5353,5353,1
1765273293.6926441,346,UDP,5353,5353,1
1765273294.0016441,59,TCP,18099,443,64
1765273294.002917,385,TCP,18099,443,64
1765273294.0041327,71,TCP,18099,443,64
1765273294.0447388,60,TCP,443,18099,49
1765273294.0461266,60,TCP,443,18099,49
1765273294.0471923,60,TCP,443,18099,49
1765273294.291526,93,TCP,443,53764,118
1765273294.296006,89,TCP,53764,443,64
1765273294.2972612,89,TCP,53764,443,64
1765273294.3392599,60,TCP,443,53764,118
1765273294.4521804,55,TCP,20901,443,64
1765273294.5190206,66,TCP,443,20901,116
1765273294.6247103,59,TCP,18099,443,64
1765273294.6262548,385,TCP,18099,443,64
1765273294.6273367,71,TCP,18099,443,64
1765273294.6673875,60,TCP,443,18099,49
1765273294.668643,60,TCP,443,18099,49
1765273294.6698723,60,TCP,443,18099,49
1765273295.011634,59,TCP,18099,443,64
1765273295.0127974,385,TCP,18099,443,64
1765273295.0140913,71,TCP,18099,443,64
1765273295.0554452,60,TCP,443,18099,49
1765273295.0571918,60,TCP,443,18099,49
1765273295.4455235,66,TCP,14803,443,64
1765273295.6320665,59,TCP,18099,443,64
1765273295.6331813,385,TCP,18099,443,64
1765273295.6342375,71,TCP,18099,443,64
1765273295.6766918,60,TCP,443,18099,49
1765273295.67838,60,TCP,443,18099,49
1765273295.9445498,71,TCP,18099,443,64
1765273295.9880445,66,TCP,443,18099,49
1765273295.9962583,85,TCP,51049,443,64
1765273296.0158517,60,TCP,443,51049,53
1765273296.0229995,59,TCP,18099,443,64
1765273296.0242572,385,TCP,18099,443,64
1765273296.0254154,71,TCP,18099,443,64
1765273296.066786,60,TCP,443,18099,49
1765273296.0685668,60,TCP,443,18099,49
1765273296.0697687,60,TCP,443,18099,49
1765273296.1130517,60,TCP,80,8972,51
1765273296.11432,54,TCP,8972,80,64
1765273296.219565,85,TCP,443,51049,53
1765273296.2716963,54,TCP,51049,443,64
1765273296.6406958,59,TCP,18099,443,64
1765273296.6419194,385,TCP,18099,443,64
1765273296.6427991,71,TCP,18099,443,64
1765273296.683541,145,TCP,1270,443,64
1765273296.6852345,60,TCP,443,18099,49
1765273296.6883388,60,TCP,443,18099,49
1765273296.6915061,60,TCP,443,18099,49
1765273296.7091382,85,UDP,5353,5353,1
1765273296.7272356,60,TCP,443,1270,52
1765273296.9473245,139,TCP,443,1270,52
1765273297.0004618,54,TCP,1270,443,64
1765273297.0309207,59,TCP,18099,443,64
1765273297.03215,385,TCP,18099,443,64
1765273297.032994,71,TCP,18099,443,64
1765273297.07566,60,TCP,443,18099,49
1765273297.077392,60,TCP,443,18099,49
1765273297.187574,66,TCP,33308,443,64
1765273297.4392853,66,TCP,53238,443,64
1765273297.4409215,66,TCP,53239,443,64
1765273297.5658967,90,UDP,63440,53,64
1765273297.5953515,90,UDP,63440,53,64
1765273297.642585,59,TCP,18099,443,64
1765273297.6441846,385,TCP,18099,443,64
1765273297.6455154,71,TCP,18099,443,64
1765273297.686285,60,TCP,443,18099,49
1765273297.6910203,86,UDP,5353,5353,1
1765273297.6932402,346,UDP,5353,5353,1
1765273297.6954641,90,UDP,53,63440,61
1765273297.6969025,90,UDP,63440,53,64
1765273297.6980155,85,UDP,5353,5353,1
1765273297.7830749,122,UDP,53,63440,59
1765273297.7842317,66,TCP,53242,443,64
1765273297.8373258,66,TCP,443,53242,53
1765273297.8387742,54,TCP,53242,443,64
1765273297.8401215,571,TCP,53242,443,64
1765273297.8916323,60,TCP,443,53242,53
1765273297.89986,1490,TCP,443,53242,53
1765273297.9012856,1490,TCP,443,53242,53
1765273297.9021726,1110,TCP,443,53242,53
1765273297.9030428,54,TCP,53242,443,64
1765273297.9038146,118,TCP,53242,443,64
1765273297.9048083,394,TCP,53242,443,64
1765273297.9551597,60,TCP,443,53242,53
1765273297.9574127,402,TCP,18099,443,64
1765273297.9646313,1364,TCP,443,53242,53
1765273297.966183,404,TCP,53242,443,64
1765273298.0018206,66,TCP,443,18099,49
1765273298.025032,910,TCP,443,53242,53
1765273298.0264838,369,TCP,53242,443,64
1765273298.0362625,59,TCP,18099,443,64
1765273298.0376582,385,TCP,18099,443,64
1765273298.0390651,71,TCP,18099,443,64
1765273298.0677533,55,TCP,44811,443,64
1765273298.0795593,60,TCP,443,18099,49
1765273298.0807688,60,TCP,443,18099,49
1765273298.0820818,60,TCP,443,18099,49
1765273298.0881908,994,TCP,443,53242,53
1765273298.1308439,54,TCP,53242,443,64
1765273298.1461172,394,TCP,53242,443,64
1765273298.2086184,908,TCP,443,53242,53
1765273298.210785,366,TCP,53242,443,64
1765273298.268609,1445,TCP,443,53242,53
1765273298.27065,1490,TCP,443,53242,53
1765273298.2722304,54,TCP,53242,443,64
1765273298.2738276,1400,TCP,443,53242,53
1765273298.2750156,1490,TCP,443,53242,53
1765273298.2760808,54,TCP,53242,443,64
1765273298.2770345,1400,TCP,443,53242,53
1765273298.278647,1490,TCP,443,53242,53
